route_short_name,route_color,route_text_color,Linie_NR_DIVA
NA,A1C3E8,FFFFFF,NA
910,FFFFFF,000000,910
912,FFFFFF,000000,912
916,FFFFFF,000000,916
917,FFFFFF,000000,917
918,FFFFFF,000000,918
919,FFFFFF,000000,919
91,FFFFFF,000000,91
10,E12472,FFFFFF,10
162,FFFFFF,000000,162
163,FFFFFF,000000,163
11,00892F,FFFFFF,11
12,92D6E3,000000,12
13,FFCC00,000000,13
14,008DC5,FFFFFF,14
15,E20A16,FFFFFF,15
17,8E224D,FFFFFF,17
S18,EB3C2E,FFFFFF,417
S18,EB3C2E,FFFFFF,418
SN18,EB3C2E,FFFFFF,419
25,FFFFFF,000000,25
2,E20A16,FFFFFF,2
3,00892F,FFFFFF,3
4,11296F,FFFFFF,4
23,FFFFFF,000000,23
24,FFFFFF,000000,24
5,734522,FFFFFF,5
6,CA7D3C,FFFFFF,6
560,FFFFFF,000000,560
7,000000,FFFFFF,7
8,8AB51F,000000,8
9,11296F,FFFFFF,9
1,000000,FFFFFF,101
2,E30513,FFFFFF,102
3,12A537,FFFFFF,103
4,FBB900,000000,104
5,0069B4,FFFFFF,105
7,007889,FFFFFF,107
9,E77B05,000000,109
10,1C4A87,FFFFFF,110
11,E73089,FFFFFF,111
12,835F38,FFFFFF,112
14,F7E229,000000,114
2E,6851A2,FFFFFF,461
610,FFFFFF,000000,610
611,FFFFFF,000000,611
660,FFFFFF,000000,660
667,FFFFFF,000000,667
674,FFFFFF,000000,674
31,A5A2C6,FFFFFF,31
32,CCB2D1,000000,32
N59,000000,FFF200,339
N61,000000,FFF200,357
N65,000000,FFF200,360
N66,000000,FFF200,361
N67,000000,FFF200,362
33,DAD69C,000000,33
34,FFFFFF,000000,34
46,C1D59F,000000,46
72,C6A693,000000,72
N45,000000,FFF200,353
N72,000000,FFF200,364
N78,000000,FFF200,365
N62,000000,FFF200,370
3740,FFFFFF,000000,382
3740,FFFFFF,000000,385
449,FFFFFF,000000,449
450,FFFFFF,000000,450
451,FFFFFF,000000,451
452,FFFFFF,000000,452
453,FFFFFF,000000,453
455,FFFFFF,000000,455
456,FFFFFF,000000,456
485,FFFFFF,000000,485
491,FFFFFF,000000,491
593,FFFFFF,000000,593
640,FFFFFF,000000,640
650,FFFFFF,000000,650
652,FFFFFF,000000,652
655,FFFFFF,000000,655
656,FFFFFF,000000,656
658,FFFFFF,000000,658
659,FFFFFF,000000,659
662,FFFFFF,000000,662
720,FFFFFF,000000,720
721,FFFFFF,000000,721
725,FFFFFF,000000,725
726,FFFFFF,000000,726
727,FFFFFF,000000,727
731,FFFFFF,000000,731
732,FFFFFF,000000,732
733,FFFFFF,000000,733
734,FFFFFF,000000,734
735,FFFFFF,000000,735
736,FFFFFF,000000,736
737,FFFFFF,000000,737
742,FFFFFF,000000,742
748,FFFFFF,000000,748
749,FFFFFF,000000,749
752,FFFFFF,000000,752
754,FFFFFF,000000,754
759,FFFFFF,000000,759
760,FFFFFF,000000,760
761,FFFFFF,000000,761
762,FFFFFF,000000,762
765,FFFFFF,000000,765
766,FFFFFF,000000,766
768,FFFFFF,000000,768
771,FFFFFF,000000,771
772,FFFFFF,000000,772
781,FFFFFF,000000,781
787,FFFFFF,000000,787
796,FFFFFF,000000,796
E,FFFFFF,000000,22
37,FFFFFF,000000,37
61,FFFFFF,000000,61
62,CAC0B6,000000,62
66,FFFFFF,000000,66
67,FFFFFF,000000,67
69,FFFFFF,000000,69
70,FFFFFF,000000,70
75,FFFFFF,000000,75
76,FFFFFF,000000,76
77,FFFFFF,000000,77
78,FFFFFF,000000,78
80,CBCFB3,000000,80
83,FFFFFF,000000,83
89,FFFFFF,000000,89
94,A9A39B,FFFFFF,94
N81,000000,FFF200,366
N86,000000,FFF200,367
N87,000000,FFF200,368
N88,000000,FFF200,369
N92,000000,FFF200,371
N95,000000,FFF200,372
811,FFFFFF,000000,811
